Codepoint,Hanzi,pinyin,Frequency,Tweets,Traditional Variant,Simplified Variant,Definition
U+5410,吐,tǔ,150,131,,,"vomit, spew out, cough up"
U+5411,向,xiàng,5433,4838,"向,嚮,曏",向,"toward, direction, trend"
U+5412,吒,zhā,274,141,,咤,"shout, roar, bellow; scold"
U+5413,吓,xià,71,66,"吓,嚇",吓,"scare, frighten; intimidate"
U+5415,吕,lǚ,39,38,呂,,surname; a musical note
U+5417,吗,ma,780,744,嗎,,final interrogative particle
U+541B,君,jūn,92,75,,,"sovereign, monarch, ruler, chief, prince"
U+541D,吝,lìn,3,3,,,"stingy, miserly, parsimonious"
U+541E,吞,tūn,99,84,,,"swallow; absorb, annex, engulf"
U+541F,吟,yín,18,16,,,"sing, hum; recite; type of poetry"
U+5420,吠,fèi,4,3,,,bark
U+5426,否,fǒu,1449,1353,,,"not, no, negative; final particle; hexagram ䷋"
U+5427,吧,ba,353,339,,,emphatic final particle
U+5428,吨,dūn,350,268,噸,,"metric ton; (Cant.) to babble, gibberish"
U+542B,含,hán,570,535,,,hold in mouth; cherish; contain
U+542C,听,tīng,497,421,"听,聽",听,"hear; understand; obey, comply; one pound"
U+542D,吭,kēng,5,3,,,throat
U+542E,吮,shǔn,1,1,,,"suck with mouth, sip, lick"
U+542F,启,qǐ,1072,1017,"啓,啟",,"open; begin, commence; explain"
U+5431,吱,zhī,6,6,,,"chirping, squeaking, hissing"
U+5433,吳,wú,53,39,,吴,one of warring states; surname
U+5434,吴,wú,143,123,"吳,吴",吴,name of warring state; surname
U+5435,吵,chǎo,24,23,,,"argue, dispute; disturb, annoy"
U+5436,吶,nà,8,7,,呐,"raise voice, yell out loud, shout; stammer"
U+5438,吸,xī,1183,1105,,,"inhale, suck in; absorb; attract"
U+5439,吹,chuī,141,130,,,"blow; puff; brag, boast"
U+543B,吻,wěn,28,21,,,kiss; the lips; coinciding
U+543C,吼,hǒu,8,7,,,"roar, shout; bark, howl"
U+543E,吾,wú,67,59,,,"i, my, our; resist, impede"
U+5440,呀,ya,34,32,,,particle used to express surprise or mild emphasis; (Cant.) slurred form of the number ten
U+5442,呂,lǚ,20,13,,吕,surname; a musical note
U+5446,呆,dāi,77,65,,,"dull; dull-minded, simple, stupid"
U+5448,呈,chéng,453,435,,,"submit, show; appear; petition"
U+544A,告,gào,2835,2519,,,"tell, announce, inform; accuse"
U+544E,呎,chǐ,1,1,,,"foot, twelve inches"
U+5450,呐,nà,9,8,吶,,"raise voice, yell out loud, shout; stammer"
U+5455,呕,ǒu,7,7,嘔,,"vomit; annoy, enrage"
U+5457,呗,bei,4,3,唄,,final particle of assertion
U+5458,员,yuán,5724,4555,員,,"member; personnel, staff member"
U+545B,呛,qiāng,9,9,嗆,,choke by smoke; irritates nose
U+545C,呜,wū,3,2,嗚,,"sound of crying, sobbing"
U+5462,呢,ne,309,296,,,interrogative or emphatic final; (Cant.) this
U+5466,呦,yōu,9,5,,,the bleating of the deer
U+5468,周,zhōu,6508,5632,,,Zhou dynasty; circumference
U+5471,呱,gū,8,4,,,"wail, crying of child; swear at"
U+5473,味,wèi,1561,1304,,,"taste, smell, odor; delicacy"
U+5475,呵,hē,30,27,,,scold; laughing sound; yawn
U+5477,呷,xiā xiá,6,4,,,"suck, swallow, drink"
U+547B,呻,shēn,1,1,,,"groan, moan; recite with intonation"
U+547C,呼,hū,913,856,,,"breathe sigh, exhale; call, shout"
U+547D,命,mìng,1247,1104,,,"life; destiny, fate, luck; an order, instruction"
U+5480,咀,jǔ,12,12,,,"suck; chew, masticate"
U+5482,咂,zā,3,3,,,"to suck, to smack the lips; (Cant.) to cheat"
U+5484,咄,duō,6,3,,,"noise of rage, cry out in anger"
U+5486,咆,páo,5,5,,,roar
U+548B,咋,zǎ,21,20,,,"question-forming particle, why? how? what?; to bite; loud"
U+548C,和,hé,20886,16513,,,"harmony, peace; peaceful, calm"
U+548E,咎,jiù,37,37,,,"fault, defect; error, mistake"
U+548F,咏,yǒng,60,55,"咏,詠",咏,"sing song or poem, hum, chant"
U+5492,咒,zhòu,15,14,,,"curse, damn, incantation"
U+5494,咔,kā,12,7,,,used in translation
U+5495,咕,gū,8,7,,,"mumble, mutter, murmur; rumble"
U+5496,咖,kā,543,298,,,coffee; a phonetic
U+5499,咙,lóng,7,7,嚨,,throat
U+549A,咚,dōng,8,5,,,"onomatopoetic, a thumping sound"
U+54A4,咤,zhà,6,6,"吒,咤",咤,"scold, bellow, shout at, roar"
U+54A7,咧,liě,7,6,,,"stretch mouth, grimace, grin"
U+54A8,咨,zī,99,93,,,"inquire, consult, discuss; plan"
U+54A9,咩,miē,10,5,,,the bleating of sheep; (Cant.) an interrogative particle
U+54AA,咪,mī,16,13,,,"sound of cat, cat's meow; meter; (Cant.) don't!"
U+54AB,咫,zhǐ,7,7,,,foot measure of Zhou dynasty
U+54AC,咬,yǎo,50,46,,,"bite, gnaw"
U+54AF,咯,gē,9,9,,,final particle
U+54B1,咱,zán,21,20,,,"we, us"
U+54B3,咳,hāi,24,18,,,cough
U+54B8,咸,xián,71,61,"咸,鹹",咸,"together; all, completely; united; hexagram ䷞"
U+54BD,咽,yàn,25,23,,,throat; pharynx
U+54BE,咾,lǎo,1,1,,,a noise; a sound
U+54C0,哀,āi,68,61,,,"sad, mournful, pitiful; pity"
U+54C1,品,pǐn,6658,4813,,,"article, product, commodity"
U+54C4,哄,hōng,18,15,,,"coax; beguile, cheat, deceive"
U+54C6,哆,duō,19,8,,,"tremble, shiver, shudder, quiver"
U+54C7,哇,wā,54,52,,,vomit; cry of an infant
U+54C8,哈,hā,1500,1084,,,sound of laughter
U+54C9,哉,zāi,24,20,,,final exclamatory particle
