Codepoint,Hanzi,pinyin,Frequency,Tweets,Traditional Variant,Simplified Variant,Definition
U+94A7,钧,jūn,9,8,鈞,,unit of measure equivalent to thirty catties
U+94A8,钨,wū,25,8,鎢,,tungsten (W)
U+94A9,钩,gōu,103,92,"鈎,鉤",,"hook, barb; sickle; stroke with"
U+94AE,钮,niǔ,24,18,鈕,,"button, knob; surname"
U+94AF,钯,bǎ,8,7,鈀,,"palladium (element 46, Pd)"
U+94B0,钰,yù,5,5,鈺,,rare treasure
U+94B1,钱,qián,690,568,錢,,"money, currency, coins"
U+94B2,钲,zhēng,2,2,鉦,,kind of gong used in ancient times by troops on the march
U+94B3,钳,qián,11,9,鉗,,"pincers, pliers, tongs; to compress"
U+94B4,钴,gǔ,47,33,鈷,,cobalt; household iron
U+94B5,钵,bō,12,11,"缽,鉢",,earthenware basin; alms bowl
U+94BA,钺,yuè,5,2,鉞,,"broad-axe, a battle axe, halberd"
U+94BB,钻,zuān,87,70,鑽,,"drill, bore; pierce; diamond"
U+94BC,钼,mù,9,5,鉬,,"molybdenum (element 42, Mo)"
U+94BD,钽,tǎn,1,1,鉭,,"tantalum (element 73, Ta)"
U+94BE,钾,jiǎ,10,7,鉀,,"potassium (element 19, K)"
U+94BF,钿,diàn,1,1,鈿,,"hairpin; gold inlaid work, filigree"
U+94C0,铀,yóu,37,27,鈾,,"uranium (element 92, U)"
U+94C1,铁,tiě,1022,662,鐵,,"iron; strong, solid, firm"
U+94C2,铂,bó,25,13,鉑,,platinum; thin sheet of metal
U+94C3,铃,líng,93,62,鈴,,bell
U+94C5,铅,qiān,31,22,鉛,,"lead (element 82, Pb)"
U+94C6,铆,mǎo,3,3,鉚,,rivet
U+94C8,铈,shì,1,1,鈰,,"cerium (element 58, Ce)"
U+94C9,铉,xuàn,5,4,鉉,,device for carrying a tripod
U+94CB,铋,bì,1,1,鉍,,"bismuth (element 83, Bi)"
U+94CC,铌,ní,3,2,鈮,,"niobium (element 41, Nb)"
U+94CE,铎,duó,6,6,鐸,,bell; surname
U+94D0,铐,kào,3,3,銬,,"shackles, manacles"
U+94D1,铑,lǎo,1,1,銠,,"rhodium (element 45, Rh)"
U+94DC,铜,tóng,269,176,銅,,"copper, brass, bronze"
U+94DD,铝,lǚ,105,68,鋁,,"aluminium/aluminum (element 13, Al)"
U+94DF,铟,yīn,5,4,銦,,"indium (element 49, In)"
U+94E0,铠,kǎi,38,25,鎧,,"armor, chain mail"
U+94E1,铡,zhá,2,2,鍘,,sickle for cutting grass or hay
U+94E2,铢,zhū,34,29,銖,,"unit of weight, one twenty-fourth of a Chinese ounce (liang)"
U+94E4,铤,tǐng,3,3,鋌,,"ingots, bars of metal; hurry"
U+94EC,铬,gè,4,2,鉻,,"chromium (element 24, Cr)"
U+94ED,铭,míng,144,114,銘,,"inscribe, engrave"
U+94EE,铮,zhēng,2,1,錚,,clanging sound; small gong
U+94EF,铯,sè,3,3,銫,,"caesium/cesium (element 55, Cs)"
U+94F0,铰,jiǎo,3,3,鉸,,"hinge; shears, scissors"
U+94F1,铱,yī,2,2,銥,,"iridium (element 77, Ir)"
U+94F2,铲,chǎn,13,12,鏟,,"spade, shovel, trowel, scoop"
U+94F5,铵,ǎn,3,3,銨,,ammonium
U+94F6,银,yín,1786,1291,銀,,"silver; cash, money, wealth"
U+94F8,铸,zhù,29,24,鑄,,"melt, cast; coin, mint"
U+94FA,铺,pù,227,215,鋪,,"shop, store; place sleep, bed"
U+94FB,铻,wú,1,1,鋙,,misfit; discordant; music instrument; hoe
U+94FC,铼,lái,2,2,錸,,"rhenium (element 75, Re)"
U+94FD,铽,tè,3,1,鋱,,"terbium (element 65, Tb)"
U+94FE,链,liàn,1009,903,鏈,,"chain, wire, cable; chain, shack"
U+94FF,铿,kēng,7,7,鏗,,"strike, beat, stroke; jingling"
U+9500,销,xiāo,2501,1957,銷,,"melt, fuse; market, sell"
U+9501,锁,suǒ,465,435,鎖,,"lock, padlock; shackles, chains"
U+9502,锂,lǐ,259,157,鋰,,"lithium (element 3, Li)"
U+9505,锅,guō,191,143,鍋,,"cooking-pot, saucepan"
U+9508,锈,xiù,19,14,"銹,鏽",,"rust, corrode"
U+9509,锉,cuò,2,2,銼,,"carpenter's file, file smooth"
U+950B,锋,fēng,147,128,鋒,,"point of spear, sharp point"
U+950C,锌,xīn,14,13,鋅,,"zinc (element 30, Zn)"
U+950F,锏,jiǎn,2,2,鐧,,kind of rapier
U+9510,锐,ruì,81,79,"銳,鋭",,"sharp, keen, acute, pointed"
U+9515,锕,ā,3,1,錒,,actinium (Ac)
U+9517,锗,zhě,12,11,鍺,,"germanium (element 32, Ge)"
U+9519,错,cuò,422,385,錯,,"error, blunder, mistake; wrong"
U+951A,锚,máo,14,14,錨,,anchor
U+951F,锟,kūn,1,1,錕,,ancient treasured sword
U+9521,锡,xī,297,239,錫,,"tin, stannum; bestow, confer"
U+9522,锢,gù,1,1,錮,,run metal into cracks; confine
U+9523,锣,luó,25,25,鑼,,gong
U+9524,锤,chuí,15,13,錘,,balance weight on scale; hammer
U+9525,锥,zhuī,5,5,錐,,"gimlet, awl, drill, auger; bore"
U+9526,锦,jǐn,192,161,錦,,"brocade, tapestry; embroidered"
U+9528,锨,xiān,1,1,鍁,,shovel
U+952D,锭,dìng,5,4,錠,,"spindle, slab, cake, tablet"
U+952E,键,jiàn,752,725,鍵,,"door bolt, lock bolt; key"
U+952F,锯,jù,11,10,鋸,,a saw; to saw; amputate
U+9530,锰,měng,3,3,錳,,"manganese (element 25, Mn)"
U+9531,锱,zī,1,1,錙,,an ancient unit of weight (one-eighth of a tael)
U+9535,锵,qiāng,5,5,鏘,,"tinkle, clang, jingle"
U+9536,锶,sī,1,1,鍶,,"strontium (element 38, Sr)"
U+9539,锹,qiāo,3,3,鍬,,shovel
U+953A,锺,zhōng,12,11,鍾,,"cup, glass, goblet; surname"
U+953B,锻,duàn,27,23,鍛,,"forge metal; temper, refine"
U+9540,镀,dù,15,11,鍍,,"plate, coat, gild"
U+9541,镁,měi,12,8,鎂,,"magnesium (element 12, Mg)"
U+9542,镂,lòu,1,1,鏤,,"carve, inlay, engrave, tattoo"
U+9547,镇,zhèn,366,312,鎮,,"town, market place; suppress"
U+954A,镊,niè,1,1,鑷,,"tweezers, forceps, pincers"
U+954C,镌,juān,8,8,"鎸,鐫",,"engraving tool; carve, engrave"
U+954D,镍,niè,68,52,鎳,,"nickel (element 28, Ni)"
U+9550,镐,gǎo,1,1,鎬,,stove; bright
U+9551,镑,bàng,52,41,鎊,,pound sterling
U+9553,镓,jiā,49,34,鎵,,"gallium (element 31, Ga)"
U+9555,镕,róng,29,20,鎔,,"fuse, melt, smelt; mold"
U+9556,镖,biāo,12,8,鏢,,"dart, spear, harpoon; escort"
U+955B,镛,yōng,2,1,鏞,,large bell used as musical instrument
U+955C,镜,jìng,357,290,鏡,,mirror; lens; glass; glasses
U+955D,镝,dī,7,6,鏑,,"dysprosium (element 66, Dy)"
U+9563,镣,liào,1,1,鐐,,fetters
U+956C,镬,huò,4,4,鑊,,"cauldron, large iron pot"
U+956D,镭,léi,2,2,鐳,,"radium (element 88, Ra)"
U+956F,镯,zhuó,2,1,鐲,,"bracelet, armband; small bell"
U+9570,镰,lián,5,3,鐮,,sickle
U+9573,镳,biāo,8,8,鑣,,"bit, bridle; ride"
U+9576,镶,xiāng,14,14,鑲,,"insert, inlay, set, mount; fill"
U+9577,長,zhǎng,3406,2298,,长,long; length; excel in; leader; Kangxi radical 168
U+957F,长,zhǎng,8661,6856,長,,long; length; excel in; leader
U+9580,門,mén,817,584,,门,"gate, door, entrance, opening; Kangxi radical 169"
U+9583,閃,shǎn,72,55,,闪,"flash; avoid, dodge, evade"
U+9586,閆,yán,1,1,,闫,village gate
U+9589,閉,bì,81,65,,闭,"shut, close; obstruct, block up"
U+958B,開,kāi,3105,2384,,"开,𫔭","open; initiate, begin, start"
U+958E,閎,hóng,1,1,,闳,"gate, barrier; wide, vast, expand"
U+9591,閑,xián,8,8,,闲,"fence, barrier; defend; idle time"
U+9592,閒,xián,29,26,,闲,"leisure; idle; peaceful, tranquil, calm"
U+9593,間,jiān,1975,1741,,间,"interval, space; place, between"
U+9594,閔,mǐn,3,2,,闵,"mourn, grieve; urge on, incite"
U+9598,閘,zhá,33,20,,闸,"sluice; flood gate, canal lock"
U+95A1,閡,ài,2,2,,阂,blocked or separated; to prevent
U+95A3,閣,gé,55,37,,阁,"chamber, pavilion; cabinet"
U+95A5,閥,fá,7,4,,阀,powerful and influential group
U+95A8,閨,guī,1,1,,闺,small entrance; women's quarters
U+95A9,閩,mǐn,48,33,,闽,Fujian province; a river; a tribe
U+95AC,閬,làng,3,2,,阆,"high door; high gate; high, lofty"
U+95B1,閱,yuè,61,47,,阅,"examine, inspect, review, read"
U+95BB,閻,yán,1,1,,阎,village gate; surname
U+95C6,闆,bǎn,50,32,,"板,𬮳","boss, the owner, person in charge"
U+95CA,闊,kuò,40,39,,阔,"broad, ample, wide; be apart"
U+95D4,闔,hé,11,11,,阖,"close; whole, entire; all; leaf"
U+95D5,闕,què,3,3,,阙,watch tower; palace
U+95D6,闖,chuǎng,67,60,,闯,"rush in, burst in, charge in"
U+95DC,關,guān,2508,1768,,关,frontier pass; close; relation
U+95E1,闡,chǎn,29,28,,阐,"explain, clarify, elucidate"
U+95E2,闢,pì,16,16,,"辟,𰿾","open; settle, develop, open up"
U+95E8,门,mén,2448,2078,門,,"gate, door, entrance, opening"
U+95EA,闪,shǎn,152,121,閃,,"flash; avoid, dodge, evade"
U+95EB,闫,yán,2,2,閆,,village gate
U+95ED,闭,bì,550,499,閉,,"shut, close; obstruct, block up"
U+95EE,问,wèn,3040,2686,問,,"ask about, inquire after"
U+95EF,闯,chuǎng,75,69,闖,,"rush in, burst in, charge in"
U+95F0,闰,rùn,4,3,閏,,"intercalary; extra, surplus"
U+95F2,闲,xián,94,87,"閑,閒",,"fence, guard; defend; idle time"
U+95F4,间,jiān,4797,4285,間,,"midpoint, space; place, locality"
U+95F5,闵,mǐn,1,1,閔,,"mourn, grieve; urge on, incite"
U+95F7,闷,mèn,18,17,悶,,"gloomy, depressed, melancholy"
U+95F8,闸,zhá,20,16,閘,,"sluice; flood gate, canal lock"
U+95F9,闹,nào,166,156,鬧,,quarrel; dispute hotly
U+95FA,闺,guī,6,6,閨,,small entrance; women's quarters
U+95FB,闻,wén,1072,1010,聞,,hear; smell; make known; news
U+95FD,闽,mǐn,57,45,閩,,fujian province; a river; a tribe
U+9600,阀,fá,13,12,閥,,powerful and influential group
U+9601,阁,gé,140,127,閣,,"chamber, pavilion; cabinet"
U+9602,阂,hé,7,7,閡,,blocked or separated; to prevent
U+9605,阅,yuè,271,231,"閱,閲",,"examine, inspect, review, read"
U+9606,阆,làng,1,1,閬,,"high door; high gate; high, lofty"
U+9608,阈,yù,1,1,閾,,"threshold; separated, confined"
U+9609,阉,yān,1,1,閹,,castrate; eunuch
U+960E,阎,yán,2,2,閻,,village gate; surname
U+9610,阐,chǎn,23,23,闡,,"explain, clarify, elucidate"
U+9611,阑,lán,1,1,闌,,door screen; railing fence
U+9614,阔,kuò,96,94,闊,,"broad, ample, wide; be apart"
U+9616,阖,hé,8,8,闔,,"close; whole, entire; all; leaf"
U+9619,阙,quē,14,14,闕,,watch tower; palace
U+961C,阜,fù,25,22,,,"mound; abundant, ample, numerous; Kangxi radical 170"
U+961F,队,duì,1693,1373,隊,,"team, group; army unit"
U+9621,阡,qiān,2,2,,,footpaths between fields; paths
U+962A,阪,bǎn,211,139,,坂,hillside farmland; slope
U+962E,阮,ruǎn,11,9,,,ancient musical instrument: surname
U+9631,阱,jǐng,32,31,,,"pitfall, trap, snare"
U+9632,防,fáng,2279,1907,,,defend; prevent; embankment
U+9633,阳,yáng,718,570,陽,,'male' principle; light; sun
U+9634,阴,yīn,193,185,陰,,'female' principle; dark; secret
U+9635,阵,zhèn,245,212,陣,,"column, row or file of troops"
U+9636,阶,jiē,504,468,階,,"stairs, steps; rank, degree"
U+963B,阻,zǔ,637,613,,,"impede, hinder, obstruct; oppose"
U+963F,阿,ā,2376,1761,,,prefix for people's names; used in transliteration
U+9640,陀,tuó,6,5,,,"steep bank, rough terrain"
U+9642,陂,pí,4,4,,,"dam, embankment; reservoir"
U+9644,附,fù,563,535,,,"adhere to, append; rely on near to"
U+9645,际,jì,3104,2816,"际,際",际,"border, boundary, juncture"
U+9646,陆,lù,1713,1353,陸,,"land, continental; army"
U+9647,陇,lǒng,3,2,隴,,mountain located between Shanxi
U+9648,陈,chén,438,390,陳,,"exhibit, display; plead; a surname"
U+964B,陋,lòu,13,13,,,"narrow; crude, coarse; ugly"
U+964C,陌,mò,31,30,,,foot path between rice fields
U+964D,降,jiàng,3966,3154,,,"descend, fall, drop; lower, down"
U+9650,限,xiàn,2269,1998,,,"boundary, limit, line"
U+9655,陕,shǎn,109,97,陝,,mountain pass; Shanxi province
U+965B,陛,bì,10,7,,,steps leading throne; throne
U+965C,陜,xiá,5,4,,,narrow; mountain pass
U+965D,陝,shǎn,84,59,,陕,mountain pass; Shaanxi province
U+965E,陞,shēng,2,2,,,"promote, rise, ascend"
U+9661,陡,dǒu,15,15,,,"steep, sloping; abruptly, sudden"
U+9662,院,yuàn,2641,2055,,,"courtyard, yard, court; school"
U+9663,陣,zhèn,69,58,,阵,"column, row or file of troops"
U+9664,除,chú,1612,1528,,,"eliminate, remove, except"
U+9668,陨,yǔn,20,11,隕,,"fall, slip; let fall; die"
U+9669,险,xiǎn,1796,1599,險,,"narrow pass, strategic point"
U+966A,陪,péi,123,115,,,"accompany, be with, keep company"
U+9670,陰,yīn,34,31,,阴,"the passive, female principle in Chinese philosophy (yin); dark; secret"
U+9672,陲,chuí,8,8,,,"frontier, border"
U+9673,陳,chén,143,112,,陈,"exhibit, display; plead; surname"
U+9675,陵,líng,278,180,,,"hill, mound; mausoleum"
U+9676,陶,táo,187,135,,,"pottery, ceramics"
U+9677,陷,xiàn,669,645,,,"submerge, sink, plunge; trap"
U+9678,陸,lù,535,376,,陆,"land, continental; army"
U+967D,陽,yáng,343,259,,阳,"the active, male principle in Chinese philosophy (yang); light; sun"
U+9685,隅,yú,5,4,,,"corner, nook, remote place"
U+9686,隆,lóng,410,344,,,"prosperous, plentiful, abundant"
U+9688,隈,wēi,4,3,,,"cove, bay, inlet"
U+968A,隊,duì,721,494,,队,"team, group; army unit"
U+968B,隋,suí,10,7,,,Sui dynasty; surname
U+968D,隍,huáng,8,3,,,"dry ditch, dry moat"
U+968E,階,jiē,190,161,,阶,"stairs, steps; rank, degree"
U+968F,随,suí,1838,1798,"随,隨",随,"follow, listen to, submit to"
U+9690,隐,yǐn,404,376,"隐,隱",隐,"hide, conceal; hidden, secret"
U+9694,隔,gé,782,689,,,"separate, partition"
U+9695,隕,yǔn,2,2,,陨,"fall, slip; let fall; die"
U+9698,隘,ài,5,5,,,"narrow, confined; a strategic pass"
U+9699,隙,xì,21,21,,,"crack, split, fissure; grudge"
U+969B,際,jì,1295,1014,,际,"border, boundary, juncture"
U+969C,障,zhàng,636,585,,,separate; shield; barricade
U+96A7,隧,suì,113,70,,,"tunnel, underground passageway, path to a tomb"
U+96A8,隨,suí,438,424,,随,"follow, listen to, submit; to accompany; subsequently, then; hexagram ䷐"
U+96AA,險,xiǎn,320,268,,险,"narrow pass, strategic point, dangerous"
U+96B0,隰,xí,4,4,,,"low, damp land, marsh, swamp"
U+96B1,隱,yǐn,86,78,,隐,"hide, conceal; hidden, secret"
U+96B4,隴,lǒng,6,5,,陇,short name for Gansu Province; a mountain on the border of Gansu and Shaanxi (Mount Long)
U+96B6,隶,lì,15,13,"隶,隸",隶,subservient; servant; Kangxi radical 171
U+96B8,隸,lì,5,5,,隶,be subservient to; servant
U+96BB,隻,zhī,200,156,,只,"single, one of pair, lone; measure word"
U+96BC,隼,sǔn,28,20,,,aquiline (nose); a falcon
U+96BD,隽,juàn,1,1,"隽,雋",隽,"superior, outstanding, talented"
U+96BE,难,nán,1768,1625,"难,難",难,"difficult, arduous, hard; unable"
U+96C0,雀,què,122,84,,,sparrow
U+96C1,雁,yàn,43,30,,,wild goose
U+96C4,雄,xióng,619,564,,,male of species; hero; manly
U+96C5,雅,yǎ,502,412,,,"elegant, graceful, refined"
U+96C6,集,jí,3337,2816,,,"assemble, collect together"
U+96C7,雇,gù,242,217,,,"employ, to hire"
U+96C9,雉,zhì,8,7,,,pheasant; crenellated wall
U+96CB,雋,juàn,2,1,,隽,"superior, outstanding, talented"
U+96CC,雌,cí,41,37,,,"female; feminine; gentle, soft"
U+96CD,雍,yōng,21,15,,,"harmony, union; harmonious"
U+96CF,雏,chú,10,9,雛,,"chick, fledging; infant, toddler"
U+96D5,雕,diāo,208,135,,,"engrave, inlay, carve; exhaust; (same as 鵰) an eagle, vulture"
U+96D6,雖,suī,132,131,,虽,"although, even if"
U+96D9,雙,shuāng,629,488,,双,"set of two, pair, couple; both"
U+96DB,雛,chú,9,6,,雏,"chick, fledging; infant, toddler"
U+96DC,雜,zá,106,87,,杂,"mixed, blended; mix, mingle"
U+96DE,雞,jī,61,46,,鸡,chickens; domestic fowl
U+96E2,離,lí,336,277,,离,"leave, depart; go away; separate; trigram ☲; hexagram ䷝"
U+96E3,難,nán,378,332,,难,"difficult, arduous, hard; unable"
U+96E8,雨,yǔ,907,698,,,rain; rainy; Kangxi radical 173
U+96EA,雪,xuě,1834,982,,,"snow; wipe away shame, avenge"
U+96EF,雯,wén,14,7,,,"cloud patterns, coloring of cloud"
U+96F2,雲,yún,513,340,,云,clouds; Yunnan province
U+96F3,雳,lì,24,18,靂,,"thunderclap, crashing thunder"
U+96F6,零,líng,1649,1353,,,"zero; fragment, fraction"
U+96F7,雷,léi,686,560,,,thunder
U+96F9,雹,báo,9,6,,,hail
U+96FB,電,diàn,2385,1168,,电,"electricity, electric; lightning"
U+96FE,雾,wù,206,161,霧,,"fog, mist, vapor, fine spray"
U+9700,需,xū,4067,3557,,,"need, require, must; hexagram ䷄"
U+9701,霁,jì,8,7,霽,,to clear up after rain; to cease be angry
U+9704,霄,xiāo,22,21,,,"sky; clouds, mist; night"
U+9706,霆,tíng,12,11,,,a sudden peal of thunder
U+9707,震,zhèn,1304,856,,,"shake, quake, tremor; excite; trigram ☳; hexagram ䷲"
U+9709,霉,méi,25,14,"霉,黴",霉,"mildew, mold; moldy, mildewed"
U+970D,霍,huò,284,238,,,"quickly, suddenly; surname"
U+970F,霏,fēi,27,19,,,falling of snow and rain
U+9711,霑,zhān,1,1,,,"be moistened, soaked; moisten"
U+9713,霓,ní,12,12,,,"rainbow; variegated, colored"
U+9716,霖,lín,4,4,,,"long spell of rain, copious rain"
U+971C,霜,shuāng,61,49,,,frost; crystallized; candied
U+971E,霞,xiá,173,123,,,rosy clouds
U+9727,霧,wù,73,52,,雾,"fog, mist, vapor, fine spray"
U+972D,霭,ǎi,4,4,靄,,"cloudy sky, haze; calm, peaceful"
U+9732,露,lù,1419,1333,,,"dew; bare, open, exposed"
U+9738,霸,bà,223,200,,,rule by might rather than right
U+9739,霹,pī,25,19,,,"thunder, crashing thunder"
U+973D,霽,jì,9,6,,霁,to clear up after rain; to cease to be angry
U+973E,霾,mái,36,32,,,"misty, foggy; dust storm"
U+9742,靂,lì,1,1,,雳,"thunderclap, crashing thunder"
U+9748,靈,líng,167,147,,灵,"spirit, soul; spiritual world"
U+9752,青,qīng,1498,1081,,,"blue, green; young; Kangxi radical 174"
U+9753,靓,jìng,9,9,靚,,make up face; ornament; quiet
U+9756,靖,jìng,63,49,,,"pacify; appease; calm, peaceful"
U+9759,静,jìng,281,249,"静,靜",静,"quiet, still, motionless; gentle"
U+975A,靚,jìng,11,10,,靓,make up face; ornament; quiet; (Cant.) pretty
U+975B,靛,diàn,3,3,,,indigo; any blue dye
U+975C,靜,jìng,97,80,,静,"quiet, still, motionless; gentle"
U+975E,非,fēi,2768,2366,,,"not, negative, non-; oppose; Kangxi radical 175"
U+9760,靠,kào,525,494,,,"lean on, trust, depend on; near"
U+9761,靡,mí,50,48,,,"divide, disperse, scatter"
U+9762,面,miàn,8294,6933,"面,麵",面,"face; surface; plane; side, dimension; Kangxi radical 176"
U+9765,靥,yè,2,2,靨,,dimples
U+9766,靦,tiǎn,1,1,,䩄,"timid, shy, bashful"
U+9769,革,gé,602,515,,,"leather, animal hides; Kangxi radical 177; hexagram ䷰"
U+9774,靴,xuē,13,11,,,boots
U+9776,靶,bǎ,13,11,,,target; splashboard on chariot
U+9784,鞄,páo,1,1,,,to work hides; leather bag
U+978B,鞋,xié,191,112,,,"shoes, footwear in general"
U+978D,鞍,ān,23,18,,,saddle; any saddle-shaped object
U+978F,鞏,gǒng,19,18,,巩,"bind; firm, secure, strong"
U+9798,鞘,qiào,1,1,,,"scabbard, sheath"
U+97A0,鞠,jū,12,10,,,"bow, bend; rear, raise, nourish"
U+97A6,鞦,qiū,5,3,,秋,leather stap; swing
U+97AD,鞭,biān,36,31,,,whip; whip; string of firecrackers
U+97C1,韁,jiāng,2,2,,缰,"reins, halter; bridle"
U+97C6,韆,qiān,5,3,,"千,𱁶",swing
U+97CB,韋,wéi,28,23,,韦,tanned leather; surname; Kangxi radical 178
U+97CC,韌,rèn,34,32,,韧,"strong and pliable, resilient; (Cant.) tough, elastic"
U+97D3,韓,hán,541,288,,韩,fence; surname; Korea
U+97DC,韜,tāo,2,1,,韬,"sheath, scabbard, bow case"
U+97E6,韦,wéi,204,181,韋,,tanned leather; surname; simplified form of Kangxi radical 178
U+97E7,韧,rèn,109,108,韌,,"strong and pliable, resilient"
U+97E9,韩,hán,2033,1297,韓,,fence; surname; Korea
U+97EC,韬,tāo,11,9,韜,,"sheath, scabbard, bow case"
U+97ED,韭,jiǔ,17,16,,,"scallion, leek; Kangxi radical 179"
U+97EE,韮,jiǔ,1,1,,,"scallion, leek"
U+97F3,音,yīn,1457,1064,,,"sound, tone, pitch, pronunciation; Kangxi radical 180"
U+97F5,韵,yùn,57,56,"韵,韻",韵,rhyme; vowel
U+97F6,韶,sháo,11,9,,,music of the emperor Shun; beautiful
U+97FB,韻,yùn,106,99,,"韵,𱂐",rhyme; vowel
U+97FF,響,xiǎng,473,432,,响,"make sound, make noise; sound"
U+9801,頁,yè,15,12,,页,"page, sheet, leaf; Kangxi radical 181"
U+9802,頂,dǐng,199,160,,顶,"top, peak; carry on head; very"
U+9803,頃,qǐng,12,10,,顷,a moment; a measure of area equal to 100 mu or 6.7 hectares; to lean
U+9805,項,xiàng,561,433,,项,"neck, nape of neck; sum; funds"
U+9806,順,shùn,353,294,,顺,"obey, submit to, go along with"
U+9808,須,xū,85,76,,须,"must, have to, necessary; moment; whiskers"
U+980C,頌,sòng,10,7,,颂,"laud, acclaim; hymn; ode"
U+9810,預,yù,1107,852,,预,"prepare, arrange; in advance"
U+9811,頑,wán,8,7,,顽,"obstinate, stubborn; recalcitrant"
U+9812,頒,bān,20,16,,颁,"confer, bestow; publish, promulgate"
U+9813,頓,dùn,81,61,,顿,"pause, stop; bow, kowtow; arrange"
U+9817,頗,pō pǒ,19,17,,颇,"lean one side; very, rather"
U+9818,領,lǐng,845,689,,领,"neck; collar; lead, guide"
U+981C,頜,hé,1,1,,颌,mouth; jaw
U+9821,頡,xié,4,3,,颉,"fly upward, soar; contest; to rob"
U+9824,頤,yí,16,11,,颐,cheeks; jaw; chin; rear; to nourish; hexagram ䷚
U+982D,頭,tóu,690,594,,头,"head; top; chief, first; boss"
U+9830,頰,jiá,2,2,,颊,"cheeks, jaw"
U+9838,頸,jǐng,28,21,,颈,"neck, throat"
U+9839,頹,tuí,2,2,,颓,"ruined, decayed; disintegrate"
U+983B,頻,pín,320,289,,频,"frequently, again and again"
U+9846,顆,kē,78,60,,颗,"grain, kernel"
U+984C,題,tí,685,581,,题,"forehead; title, headline; theme"
U+984D,額,é,731,527,,额,"forehead; tablet, plaque; fixed"
U+984F,顏,yán,24,23,,颜,"face, facial appearance"
U+9858,願,yuàn,263,226,,"愿,𫖸","desire, want; wish; ambition"
U+985B,顛,diān,23,21,,颠,"top, peak, summit; upset"
U+985E,類,lèi,447,351,,类,"class, group, kind, category"
U+9867,顧,gù,111,100,,顾,look back; look at; look after
U+986B,顫,chàn,6,4,,颤,"shiver, tremble; trembling"
U+986F,顯,xiǎn,659,607,,显,"manifest, display; evident, clear"
U+9870,顰,pín,1,1,,颦,"frown, knit brows"
U+9871,顱,lú,1,1,,颅,skull
U+9875,页,yè,176,144,頁,,"page, sheet, leaf; rad. no. 181"
U+9876,顶,dǐng,514,472,頂,,"top, summit, peak; to carry on the head"
U+9877,顷,qǐng,35,35,頃,,a moment; a measure of area equal to 100 mu or 6.7 hectares; to lean
U+9879,项,xiàng,2566,2272,項,,"neck, nape of neck; sum; funds"
U+987A,顺,shùn,479,441,順,,"obey, submit to, go along with"
U+987B,须,xū,804,746,"須,鬚",,"must, have to, necessary"
U+987C,顼,xū,1,1,頊,,grieved
U+987D,顽,wán,26,26,頑,,"obstinate, stubborn; recalcitrant"
U+987E,顾,gù,513,482,顧,,look back; look at; look after
U+987F,顿,dùn,482,450,頓,,"pause, stop; bow, kowtow; arrange"
U+9881,颁,bān,61,56,頒,,"confer, bestow; publish, promulgate"
U+9882,颂,sòng,13,13,頌,,"laud, acclaim; hymn; ode"
U+9884,预,yù,4358,3639,預,,"prepare, arrange; in advance"
U+9885,颅,lú,6,5,顱,,skull
U+9886,领,lǐng,2879,2526,領,,"neck; collar; lead, guide"
U+9887,颇,pō,93,91,頗,,"lean one side; very, rather"
U+9888,颈,jǐng,94,84,頸,,"neck, throat"
U+9889,颉,jié,3,2,頡,,"fly upward, soar; contest"
U+988A,颊,jiá,7,7,頰,,"cheeks, jaw"
U+988D,颍,yǐng,2,2,潁,,river in Anhui
U+9890,颐,yí,16,14,頤,,cheeks; jaw; chin; rear; to nourish
U+9891,频,pín,1609,1357,頻,,"frequently, again and again"
U+9893,颓,tuí,19,19,"頹,頽",,"ruined, decayed; disintegrate"
U+9896,颖,yǐng,70,62,穎,,rice tassel; sharp point; clever
U+9897,颗,kē,174,150,顆,,"grain, kernel"
U+9898,题,tí,2737,2444,題,,"forehead; title, headline; theme"
U+989C,颜,yán,124,114,"顏,顔",,"face, facial appearance"
U+989D,额,é,2037,1689,額,,"forehead; tablet, plaque; fixed"
U+98A0,颠,diān,110,105,顛,,"top, peak, summit; upset"
U+98A4,颤,chàn,13,7,顫,,"shiver, tremble; trembling"
U+98A6,颦,pín,4,4,顰,,"frown, knit brows; with knitted"
U+98A7,颧,quán,1,1,顴,,cheek bones
U+98A8,風,fēng,957,774,,风,"wind; air; manners, atmosphere; Kangxi radical 182"
U+98AF,颯,sà,21,20,,飒,the sound of the wind; bleak; melancholy
U+98B1,颱,tái,38,28,,"台,𱃗",typhoon
U+98B3,颳,guā,3,3,,刮,to blow
U+98B6,颶,jù,10,6,,飓,"cyclone, typhoon, gale"
U+98C4,飄,piāo,51,49,,飘,"whirlwind, cyclone; floating"
U+98C6,飆,biāo,53,50,,飙,"whirlwind, stormy gale"
U+98C8,飈,biāo,1,1,,飚,whirlwind
U+98CE,风,fēng,3172,2626,"風,风",风,"wind; air; manners, atmosphere"
U+98D2,飒,sà,20,17,颯,,the sound of the wind; bleak; melancholy
U+98D3,飓,jù,40,25,颶,,"cyclone, typhoon, gale"
U+98D5,飕,sōu,2,1,颼,,sound of wind; blow chilly
U+98D8,飘,piāo,84,78,飄,,"whirlwind, cyclone; floating"
U+98D9,飙,biāo,474,464,飆,,"whirlwind, stormy gale"
U+98DA,飚,biāo,3,3,飈,,whirlwind
U+98DB,飛,fēi,820,452,,飞,fly; go quickly; dart; high; Kangxi radical 183
